yeo_17_index,yeo_17_name,yeo_17_R,yeo_17_A,yeo_17_S,yeo_7_index,yeo_7_name,yeo_7_R,yeo_7_A,yeo_7_S
151,17networks_RH_SalVentAttnA_FrMed_1,8,0,64,145,7networks_RH_SalVentAttn_FrMed_1,8,0,64
152,17networks_RH_SalVentAttnA_FrMed_2,8,8,42,146,7networks_RH_SalVentAttn_FrMed_2,8,8,42
153,17networks_RH_SalVentAttnA_IPL,62,-22,32,148,7networks_RH_SalVentAttn_IPL,62,-22,32
154,17networks_RH_SalVentAttnA_Ins_1,36,14,6,149,7networks_RH_SalVentAttn_Ins_1,36,14,6
155,17networks_RH_SalVentAttnA_Ins_2,42,6,-12,150,7networks_RH_SalVentAttn_Ins_2,42,6,-12
156,17networks_RH_SalVentAttnA_SPL,12,-34,46,152,7networks_RH_SalVentAttn_SPL,12,-34,46
157,17networks_RH_DorsAttnB_PostC_1,38,-36,48,157,7networks_RH_DorsAttn_PostC_1,38,-36,48
158,17networks_RH_DorsAttnB_PostC_2,54,-22,42,158,7networks_RH_DorsAttn_PostC_2,54,-22,42
159,17networks_RH_DorsAttnB_PrCd_1,26,-10,58,159,7networks_RH_DorsAttn_PrCd_1,26,-10,58
160,17networks_RH_DorsAttnB_PrCd_2,40,-2,52,160,7networks_RH_DorsAttn_PrCd_2,40,-2,52
161,17networks_RH_DorsAttnB_SPL_1,18,-50,70,162,7networks_RH_DorsAttn_SPL_1,18,-50,70
162,17networks_RH_DorsAttnB_SPL_2,8,-54,58,163,7networks_RH_DorsAttn_SPL_2,8,-54,58
163,17networks_RH_DorsAttnA_IPS,32,-68,40,155,7networks_RH_DorsAttn_IPS_1,32,-68,40
164,17networks_RH_DorsAttnA_SPL_1,32,-54,58,164,7networks_RH_DorsAttn_SPL_3,32,-54,58
165,17networks_RH_DorsAttnA_SPL_2,20,-70,54,165,7networks_RH_DorsAttn_SPL_4,20,-70,54
166,17networks_RH_DorsAttnA_TempOcc_1,48,-64,8,199,7networks_RH_DorsAttn_TempOcc_4,48,-64,8
167,17networks_RH_DorsAttnA_TempOcc_2,48,-58,-14,167,7networks_RH_DorsAttn_TempOcc_2,48,-58,-14
168,17networks_RH_DorsAttnA_TempOcc_3,52,-38,-24,168,7networks_RH_DorsAttn_TempOcc_3,52,-38,-24
169,17networks_RH_ContA_TempOcc,58,-56,-2,166,7networks_RH_DorsAttn_TempOcc_1,58,-56,-2
170,17networks_RH_SomMotB_1,54,-4,40,171,7networks_RH_SomMot_11,54,-4,40
171,17networks_RH_SomMotB_2,54,-10,36,172,7networks_RH_SomMot_12,54,-10,36
172,17networks_RH_SomMotB_3,62,-4,24,173,7networks_RH_SomMot_13,62,-4,24
173,17networks_RH_SomMotB_4,56,-4,12,174,7networks_RH_SomMot_14,56,-4,12
174,17networks_RH_SomMotB_Ins_1,44,-24,18,183,7networks_RH_SomMot_Ins_1,44,-24,18
175,17networks_RH_SomMotB_Ins_2,38,-8,14,184,7networks_RH_SomMot_Ins_2,38,-8,14
